指标,均值差(确诊-未确诊),p值,显著差异(p<0.05),检验方法
TG（甘油三酯）,1.1610342800226618,7.937315469088069e-54,True,Mann-Whitney U检验
TC（总胆固醇）,1.9745775310537237,4.192544771122708e-43,True,Mann-Whitney U检验
血尿酸,56.320199084988815,1.0762796974903517e-10,True,Mann-Whitney U检验
LDL-C（低密度脂蛋白）,0.28234284530706466,6.160127008119269e-09,True,Mann-Whitney U检验
HDL-C（高密度脂蛋白）,-0.11274421904222365,1.6584871077382688e-07,True,Mann-Whitney U检验
空腹血糖,-0.105941461215588,0.17697512431549617,False,独立样本t检验
ADL总分,0.46186742694226623,0.38397828722281124,False,Mann-Whitney U检验
BMI,0.1869121973061425,0.4153132852518236,False,独立样本t检验
活动量表总分（ADL总分+IADL总分）,0.49683523097635884,0.5198371364434272,False,Mann-Whitney U检验
IADL总分,0.034967804034089056,0.7314206651812598,False,Mann-Whitney U检验
